master_customer_id,Source,State,Store/Location,Start Date,Membership #,Status,Membership $,Cash $,Check $,Credit $,Debit $,Electronic $,Gift $,Merchant $,Sales Tax $
5857786,Dutchie,Connecticut,Dutchie Naugatuck,1/1/1970,Membership 0004645 Quarter Membership,Current,249,0,0,0,0,0,0,0,15.8115
5459413,Dutchie,Illinois,Dutchie Greektown,1/1/1970,Membership 0002426 Quarter Membership,Current,249,0,0,0,0,0,0,0,0.25522500000000004
3240954,Dutchie,Illinois,Dutchie West Chicago,1/1/1970,Membership 0001520 Quarter Membership,Current,199.2,0,0,0,0,0,0,0,0.20418
2239525,Dutchie,Illinois,Dutchie Prospect Heights,1/1/1970,Membership 0002486 Dime Membership,Current,104.3,0,0,0,0,0,0,0,0.1069075
4460967,Dutchie,Illinois,Dutchie Prospect Heights,1/1/1970,Membership 0001910 Quarter Membership,Current,249,0,0,0,0,0,0,0,0.25522500000000004
5213608,Nimble,Illinois,0,1/11/2024,Membership 0000003 Dime Membership,Expired,120,0,0,0,0,0,0,0,0
2342574,Dutchie,New Jersey,Dutchie Lawrence Rec,3/28/2024,Membership 0000811 Quarter Membership,Current,199,0,0,0,240,0,0,0,13.18375
2527277,Dutchie,New Jersey,Dutchie Lawrence Rec,3/28/2024,Membership 0000812 Quarter Membership,Current,199,0,0,0,210,0,0,0,13.18375
764918,Dutchie,Illinois,Dutchie Highland Park,3/29/2024,Membership 0000845 Quarter Membership,Current,199.2,0,199,0,0,0,0,0,0.20418
764918,Dutchie,Illinois,Dutchie Highland Park,3/29/2024,Membership 0000845 Quarter Membership,Future,199.2,0,199,0,0,0,0,0,0.20418
1042911,Dutchie,Illinois,Dutchie Evanston,3/29/2024,Membership 0001760 Dime Membership,Future,134.1,0.25,0,0,150,0,0,0,0.1374525
1875727,Dutchie,Illinois,Dutchie Highland Park,3/29/2024,Membership 0000819 Quarter Membership,Current,199.2,0,199,0,0,0,0,0,0.20418
1042911,Dutchie,Illinois,Dutchie Evanston,3/29/2024,Membership 0001760 Dime Membership,Current,134.1,0.25,0,0,150,0,0,0,0.1374525
687401,Dutchie,Illinois,Dutchie Aurora,3/29/2024,Membership 0000818 Quarter Membership,Current,199.2,0,0,0,200,0,0,0,0.20418
5030963,Dutchie,Illinois,Dutchie Highland Park,3/29/2024,Membership 0002000 Quarter Membership,Current,199.2,200,0,0,0,0,0,0,0.20418
3365410,Dutchie,New Jersey,Dutchie Elizabeth Rec,3/30/2024,Membership 0001136 Quarter Membership,Current,151.05,0,0,0,195,0,0,0,10.007062500000002
3314269,Dutchie,Illinois,Dutchie Evanston,3/30/2024,Membership 0004278 Quarter Membership,Current,199.2,0,0,0,200,0,0,0,0.20418
1030928,Dutchie,Illinois,Dutchie Aurora,3/30/2024,Membership 0001194 Quarter Membership,Current,199.2,0,0,0,200,0,0,0,0.20418
2284125,Dutchie,New Jersey,Dutchie Elizabeth Rec,3/30/2024,Membership 0001296 Quarter Membership,Current,199,160,111,0,0,0,0,0,13.18375
4365728,Dutchie,Illinois,Dutchie Saint Charles,3/31/2024,Membership 0001539 Quarter Membership,Current,199.2,100,99,0,0,0,0,0,0.20418
587455,Dutchie,Illinois,Dutchie Saint Charles,3/31/2024,Membership 0002011 Quarter Membership,Current,199.2,0,0,0,200,0,0,0,0.20418
554789,Dutchie,Illinois,Dutchie Rogers Park,3/31/2024,Membership 0000950 Quarter Membership,Current,199.2,0,0,0,360,0,0,0,0.20418
3026979,Nimble,New Jersey,Zen Leaf Neptune,4/1/2024,Membership 0001051 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
2555563,Nimble,New Jersey,Zen Leaf Lawrence,4/1/2024,Membership 0001038 Quarter Membership,Current,199,0,0,0,0,0,0,199,0
2643602,Nimble,New Jersey,Zen Leaf Elizabeth,4/1/2024,Membership 0001032 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
4295731,Nimble,Illinois,Zen Leaf Lombard,4/1/2024,Membership 0001042 Dime Membership,Current,134,0,0,0,0,0,0,142.38,8.38
727082,Nimble,Illinois,Zen Leaf St. Charles,4/1/2024,Membership 0001031 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
3064496,Nimble,New Jersey,Zen Leaf Neptune,4/1/2024,Membership 0001037 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
3272479,Nimble,New Jersey,Zen Leaf Lawrence,4/1/2024,Membership 0001048 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
3360510,Nimble,New Jersey,Zen Leaf Neptune,4/1/2024,Membership 0001040 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
4468950,Nimble,New Jersey,Zen Leaf Lawrence,4/1/2024,Membership 0001036 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
3288738,Nimble,Illinois,Zen Leaf Naperville,4/1/2024,Membership 0001028 Dime Membership,Current,134,0,0,0,0,0,0,142.38,8.38
4559223,Nimble,New Jersey,Zen Leaf Neptune,4/1/2024,Membership 0001027 Dime Membership,Current,134,0,0,0,0,0,0,142.38,8.38
3765086,Nimble,New Jersey,Zen Leaf Elizabeth,4/1/2024,Membership 0001030 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
1225032,Nimble,Illinois,Zen Leaf Evanston,4/1/2024,Membership 0001021 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
4431422,Nimble,New Jersey,Zen Leaf Lawrence,4/1/2024,Membership 0001020 Dime Membership,Current,134,0,0,0,0,0,0,134,0
2977818,Nimble,New Jersey,Zen Leaf Elizabeth,4/1/2024,Membership 0001062 Dime Membership,Current,134,0,0,0,0,0,0,134,0
4607002,Nimble,Illinois,Zen Leaf Naperville,4/1/2024,Membership 0001165 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
585404,Nimble,New Jersey,Zen Leaf Elizabeth,4/1/2024,Membership 0001035 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
3925209,Nimble,New Jersey,Zen Leaf Elizabeth,4/1/2024,Membership 0001041 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
4021820,Nimble,Illinois,Zen Leaf Prospect Heights,4/1/2024,Membership 0001049 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
3171483,Nimble,New Jersey,Zen Leaf Lawrence,4/1/2024,Membership 0001050 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
1255052,Nimble,Illinois,Zen Leaf Evanston,4/1/2024,Membership 0001058 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
2641223,Nimble,New Jersey,Zen Leaf Lawrence,4/1/2024,Membership 0001052 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
5137753,Nimble,New Jersey,Zen Leaf Elizabeth,4/1/2024,Membership 0001054 Quarter Membership,Current,199,0,0,0,0,0,0,211.44,12.44
